SK_ID_CURR,TARGET
100001,0.16
100005,0.15
100013,0.12
100028,0.12
100038,0.21
100042,0.11
100057,0.12
100065,0.21
100066,0.06
100067,0.22
100074,0.27
100090,0.11
100091,0.2
100092,0.16
100106,0.2
100107,0.29
100109,0.14
100117,0.14
100128,0.13
100141,0.16
100150,0.04
100168,0.12
100169,0.11
100170,0.09
100171,0.17
100172,0.25
100184,0.14
100187,0.15
100212,0.22
100222,0.16
100223,0.1
100232,0.08
100241,0.26
100245,0.09
100253,0.09
100256,0.2
100271,0.06
100278,0.34
100280,0.13
100306,0.18
100311,0.25
100312,0.13
100330,0.11
100331,0.14
100352,0.2
100358,0.19
100367,0.14
100382,0.31
100384,0.07
100385,0.17
100386,0.14
100399,0.09
100404,0.23
100416,0.1
100422,0.17
100426,0.09
100438,0.06
100444,0.22
100445,0.21
100446,0.2
100447,0.12
100450,0.27
100466,0.14
100483,0.12
100484,0.06
100494,0.1
100510,0.1
100512,0.18
100517,0.1
100548,0.16
100551,0.12
100552,0.26
100553,0.13
100561,0.14
100568,0.37
100569,0.14
100591,0.17
100592,0.07
100602,0.17
100607,0.11
100613,0.19
100617,0.17
100618,0.2
100622,0.21
100625,0.24
100677,0.18
100699,0.07
100702,0.35
100711,0.17
100729,0.24
100740,0.19
100744,0.24
100745,0.13
100747,0.21
100751,0.28
100752,0.14
100753,0.3
100754,0.24
100760,0.13
100762,0.23
100763,0.14
100765,0.08
100770,0.16
100772,0.08
100777,0.09
100791,0.09
100792,0.07
100797,0.08
100823,0.08
100826,0.11
100830,0.11
100836,0.31
100872,0.16
100910,0.1
100913,0.33
100918,0.13
100931,0.08
100952,0.16
100953,0.16
100965,0.22
100970,0.11
100982,0.23
100983,0.25
100984,0.15
100987,0.13
100997,0.1
100998,0.17
101002,0.16
101005,0.23
101008,0.27
101020,0.15
101021,0.1
101024,0.22
101025,0.24
101026,0.22
101031,0.09
101041,0.08
101051,0.06
101055,0.16
101056,0.32
101057,0.14
101064,0.15
101079,0.14
101087,0.14
101090,0.14
101092,0.24
101097,0.23
101099,0.08
101107,0.19
101118,0.16
101125,0.16
101126,0.07
101128,0.14
101136,0.22
101140,0.23
101149,0.12
101160,0.26
101169,0.23
101181,0.11
101186,0.16
101190,0.18
101193,0.17
101194,0.29
101198,0.17
101200,0.06
101204,0.12
101211,0.15
101213,0.24
101223,0.06
101225,0.15
101237,0.19
101243,0.16
101244,0.26
101258,0.13
101259,0.24
101268,0.18
101269,0.13
101271,0.29
101279,0.1
101281,0.24
101287,0.09
101292,0.22
101294,0.11
101296,0.14
101297,0.09
101299,0.22
101301,0.1
101305,0.19
101308,0.2
101318,0.09
101327,0.25
101329,0.11
101332,0.15
101337,0.13
101343,0.08
101345,0.14
101346,0.12
101353,0.04
101354,0.17
101355,0.2
101356,0.09
101362,0.24
101363,0.22
101365,0.06
101366,0.25
101367,0.26
101368,0.07
101374,0.19
101380,0.14
101383,0.14
101398,0.09
101399,0.32
101401,0.2
101412,0.19
101426,0.13
101427,0.38
101428,0.24
101429,0.25
101434,0.09
101440,0.19
101448,0.17
101449,0.08
101465,0.19
101467,0.18
101472,0.28
101478,0.2
101497,0.2
101504,0.22
101547,0.13
101548,0.16
101555,0.24
101570,0.16
