SK_ID_CURR,TARGET
100001,0.19
100005,0.29
100013,0.21
100028,0.16
100038,0.26
100042,0.15
100057,0.21
100065,0.18
100066,0.11
100067,0.32
100074,0.22
100090,0.2
100091,0.27
100092,0.34
100106,0.27
100107,0.27
100109,0.2
100117,0.22
100128,0.28
100141,0.11
100150,0.11
100168,0.25
100169,0.21
100170,0.2
100171,0.23
100172,0.41
100184,0.23
100187,0.27
100212,0.22
100222,0.23
100223,0.17
100232,0.16
100241,0.31
100245,0.23
100253,0.24
100256,0.27
100271,0.17
100278,0.37
100280,0.19
100306,0.33
100311,0.25
100312,0.16
100330,0.33
100331,0.17
100352,0.29
100358,0.24
100367,0.16
100382,0.23
100384,0.21
100385,0.27
100386,0.36
100399,0.15
100404,0.28
100416,0.27
100422,0.28
100426,0.18
100438,0.16
100444,0.17
100445,0.21
100446,0.33
100447,0.13
100450,0.17
100466,0.16
100483,0.21
100484,0.2
100494,0.25
100510,0.32
100512,0.14
100517,0.08
100548,0.17
100551,0.12
100552,0.3
100553,0.21
100561,0.25
100568,0.4
100569,0.19
100591,0.23
100592,0.08
100602,0.17
100607,0.24
100613,0.21
100617,0.21
100618,0.3
100622,0.23
100625,0.28
100677,0.28
100699,0.17
100702,0.42
100711,0.32
100729,0.21
100740,0.31
100744,0.37
100745,0.24
100747,0.34
100751,0.41
100752,0.29
100753,0.41
100754,0.27
100760,0.16
100762,0.26
100763,0.24
100765,0.27
100770,0.3
100772,0.16
100777,0.22
100791,0.18
100792,0.19
100797,0.12
100823,0.21
100826,0.17
100830,0.13
100836,0.36
100872,0.28
100910,0.18
100913,0.37
100918,0.32
100931,0.06
100952,0.21
100953,0.08
100965,0.3
100970,0.09
100982,0.27
100983,0.47
100984,0.2
100987,0.28
100997,0.31
100998,0.31
101002,0.16
101005,0.29
101008,0.26
101020,0.23
101021,0.27
101024,0.28
101025,0.42
101026,0.3
101031,0.07
101041,0.14
101051,0.09
101055,0.23
101056,0.36
101057,0.2
101064,0.13
101079,0.34
101087,0.21
101090,0.12
101092,0.37
101097,0.18
101099,0.1
101107,0.27
101118,0.26
101125,0.28
101126,0.17
101128,0.15
101136,0.26
101140,0.4
101149,0.22
101160,0.12
101169,0.3
101181,0.24
101186,0.18
101190,0.24
101193,0.17
101194,0.31
101198,0.36
101200,0.16
101204,0.18
101211,0.26
101213,0.26
101223,0.15
101225,0.14
101237,0.21
101243,0.16
101244,0.35
101258,0.15
101259,0.3
101268,0.24
101269,0.25
101271,0.19
101279,0.1
101281,0.18
101287,0.17
101292,0.2
101294,0.19
101296,0.19
101297,0.16
101299,0.24
101301,0.1
101305,0.31
101308,0.26
101318,0.11
101327,0.3
101329,0.08
101332,0.2
101337,0.16
101343,0.14
101345,0.08
