SK_ID_CURR,TARGET
100001,0.49
100005,0.37
100013,0.36
100028,0.32
100038,0.51
100042,0.37
100057,0.43
100065,0.38
100066,0.29
100067,0.45
100074,0.48
100090,0.42
100091,0.48
100092,0.55
100106,0.38
100107,0.44
100109,0.45
100117,0.4
100128,0.43
100141,0.34
100150,0.33
100168,0.35
100169,0.49
100170,0.28
100171,0.45
100172,0.46
100184,0.38
100187,0.52
100212,0.39
100222,0.4
100223,0.3
100232,0.39
100241,0.44
100245,0.39
100253,0.37
100256,0.41
100271,0.43
100278,0.45
100280,0.32
100306,0.47
100311,0.51
100312,0.39
100330,0.46
100331,0.26
100352,0.59
100358,0.4
100367,0.39
100382,0.42
100384,0.37
100385,0.46
100386,0.48
100399,0.37
100404,0.41
100416,0.38
100422,0.42
100426,0.35
100438,0.47
100444,0.37
100445,0.45
100446,0.47
100447,0.41
100450,0.45
100466,0.38
100483,0.39
100484,0.39
100494,0.39
100510,0.37
100512,0.38
100517,0.28
100548,0.45
100551,0.38
100552,0.42
100553,0.34
100561,0.36
100568,0.49
100569,0.36
100591,0.43
100592,0.38
100602,0.37
100607,0.38
100613,0.47
100617,0.49
100618,0.44
100622,0.42
100625,0.49
100677,0.51
100699,0.36
100702,0.57
100711,0.47
100729,0.46
100740,0.53
100744,0.39
100745,0.44
100747,0.39
100751,0.53
100752,0.44
100753,0.41
100754,0.52
100760,0.45
100762,0.46
100763,0.45
100765,0.41
100770,0.41
100772,0.41
100777,0.36
100791,0.37
100792,0.31
100797,0.4
100823,0.39
100826,0.41
100830,0.4
100836,0.46
100872,0.4
100910,0.31
100913,0.4
100918,0.4
100931,0.32
100952,0.37
100953,0.43
100965,0.41
100970,0.49
100982,0.37
100983,0.49
100984,0.45
100987,0.44
100997,0.42
100998,0.44
101002,0.52
101005,0.39
101008,0.46
101020,0.43
101021,0.43
101024,0.54
101025,0.43
101026,0.42
101031,0.44
101041,0.33
101051,0.23
101055,0.43
101056,0.45
101057,0.28
101064,0.47
101079,0.47
101087,0.35
101090,0.5
101092,0.36
101097,0.45
101099,0.31
101107,0.46
101118,0.39
101125,0.43
101126,0.38
101128,0.42
101136,0.39
101140,0.53
101149,0.46
101160,0.46
101169,0.48
101181,0.44
101186,0.51
101190,0.4
101193,0.35
101194,0.42
101198,0.45
101200,0.36
101204,0.41
101211,0.51
101213,0.5
101223,0.29
101225,0.34
101237,0.41
101243,0.43
101244,0.47
101258,0.43
101259,0.48
101268,0.47
101269,0.39
101271,0.39
101279,0.4
101281,0.47
101287,0.3
101292,0.32
101294,0.35
101296,0.47
101297,0.41
101299,0.37
101301,0.38
101305,0.38
101308,0.45
101318,0.27
101327,0.56
101329,0.37
101332,0.5
101337,0.43
101343,0.33
101345,0.31
101346,0.41
101353,0.35
101354,0.38
101355,0.58
101356,0.4
101362,0.39
101363,0.44
101365,0.41
101366,0.4
101367,0.35
101368,0.32
101374,0.36
101380,0.53
101383,0.44
101398,0.37
101399,0.51
101401,0.45
101412,0.36
101426,0.44
101427,0.4
101428,0.51
101429,0.43
101434,0.32
101440,0.4
101448,0.4
101449,0.4
101465,0.4
101467,0.36
101472,0.39
101478,0.45
101497,0.37
101504,0.49
101547,0.34
101548,0.44
101555,0.44
101570,0.36
101572,0.38
101578,0.43
101580,0.37
101588,0.49
101602,0.39
101610,0.44
101614,0.37
101616,0.37
101643,0.42
101644,0.5
101649,0.38
101650,0.38
101665,0.29
101667,0.38
101669,0.4
101674,0.37
101675,0.37
101678,0.46
101682,0.38
101686,0.4
101697,0.46
101700,0.47
101711,0.38
101714,0.4
101715,0.45
101728,0.4
101732,0.45
101757,0.47
101758,0.37
101759,0.37
101762,0.3
101764,0.41
101780,0.45
101784,0.31
101789,0.39
101816,0.4
101819,0.46
101827,0.29
101863,0.38
101867,0.37
101870,0.31
101873,0.54
101878,0.49
101879,0.44
101880,0.37
101887,0.37
101897,0.54
101901,0.36
101903,0.43
101920,0.4
101921,0.41
101922,0.45
101961,0.44
101962,0.37
101971,0.39
101976,0.41
102002,0.44
102005,0.38
102007,0.52
102017,0.31
102019,0.43
102029,0.35
102051,0.36
102052,0.25
102054,0.39
102062,0.45
102067,0.54
102068,0.39
102070,0.46
102090,0.39
102092,0.41
102099,0.41
102100,0.39
102112,0.38
102113,0.34
102122,0.46
102123,0.34
102125,0.44
102126,0.44
102146,0.35
102147,0.4
102151,0.38
102158,0.52
102159,0.35
102162,0.5
102165,0.39
102166,0.41
102174,0.35
102193,0.44
102198,0.35
102205,0.47
102206,0.4
102218,0.42
102221,0.39
102230,0.44
102238,0.39
102248,0.5
102252,0.45
102259,0.42
102262,0.51
102273,0.45
102286,0.42
102293,0.44
102294,0.38
102296,0.42
102298,0.49
102303,0.43
102309,0.52
102315,0.39
102340,0.39
102342,0.46
102344,0.38
102346,0.46
102347,0.38
102374,0.46
102380,0.41
102387,0.27
102393,0.45
102403,0.31
102413,0.34
102414,0.4
102415,0.41
102416,0.3
102439,0.46
102441,0.33
102443,0.34
102444,0.41
102445,0.44
102448,0.39
102449,0.32
102450,0.4
102456,0.37
102458,0.37
102459,0.32
102465,0.36
102470,0.36
102471,0.4
102475,0.38
102476,0.43
102506,0.38
102509,0.46
102519,0.36
102522,0.45
102545,0.38
102549,0.35
102562,0.45
102563,0.41
102568,0.46
102582,0.45
102592,0.4
102597,0.38
102605,0.41
102614,0.38
102617,0.49
102634,0.44
102652,0.3
102655,0.28
102671,0.44
102694,0.5
102701,0.3
102703,0.35
102704,0.42
102713,0.41
102720,0.51
102731,0.38
102733,0.29
102749,0.48
102755,0.41
102763,0.35
102770,0.4
102772,0.37
102799,0.43
102838,0.41
102854,0.46
102862,0.48
102863,0.44
102867,0.48
102868,0.35
102878,0.39
102887,0.4
102898,0.48
102904,0.34
102912,0.31
102919,0.33
102927,0.4
102932,0.42
102933,0.33
102935,0.43
102958,0.46
102969,0.43
102971,0.43
102975,0.31
102979,0.4
102982,0.36
102987,0.46
102989,0.42
102995,0.45
102996,0.45
103000,0.37
103001,0.31
103004,0.42
103010,0.42
103025,0.48
103029,0.27
103046,0.37
103056,0.38
103062,0.43
103078,0.31
103083,0.37
103092,0.36
103096,0.37
103097,0.38
103102,0.42
103112,0.36
103132,0.59
103144,0.31
103145,0.35
103146,0.42
103147,0.33
103158,0.41
103171,0.48
103173,0.37
103184,0.4
103195,0.43
103196,0.43
103206,0.4
103230,0.43
103231,0.48
103232,0.39
103239,0.42
103240,0.42
103243,0.44
103252,0.33
103258,0.37
103259,0.45
103279,0.33
103280,0.33
103286,0.36
103287,0.5
103290,0.39
103298,0.39
103315,0.35
103319,0.35
103334,0.4
103336,0.44
103345,0.4
103368,0.33
103371,0.46
103377,0.39
103398,0.35
103404,0.38
103408,0.46
103410,0.35
103418,0.44
103420,0.49
103432,0.45
103433,0.36
103436,0.37
103440,0.41
103453,0.45
103459,0.41
103460,0.45
103461,0.28
103462,0.43
103473,0.38
103474,0.31
103475,0.56
103478,0.38
103480,0.45
103484,0.28
103494,0.4
103513,0.41
103515,0.47
103516,0.4
103525,0.44
103541,0.38
103544,0.43
103562,0.46
103570,0.41
103572,0.51
103574,0.36
103575,0.43
103591,0.45
103594,0.5
103609,0.43
103613,0.39
103614,0.31
103615,0.46
103624,0.37
103625,0.49
103628,0.41
103629,0.29
103647,0.4
103648,0.3
103651,0.36
103658,0.42
103668,0.37
103669,0.35
103676,0.47
103682,0.46
103683,0.48
103689,0.33
103725,0.4
103733,0.47
103744,0.33
103762,0.44
103771,0.42
103773,0.32
103783,0.33
103784,0.43
103808,0.41
103812,0.38
103813,0.42
103814,0.49
103818,0.49
103824,0.38
103828,0.36
103830,0.51
103840,0.32
103842,0.48
103847,0.57
103848,0.44
103851,0.39
103854,0.49
103857,0.45
103861,0.41
103862,0.46
103865,0.42
103870,0.33
103876,0.45
103891,0.39
103908,0.37
103914,0.47
103918,0.43
103940,0.28
103963,0.46
103966,0.46
103971,0.43
103980,0.45
103984,0.33
103985,0.32
103998,0.49
104019,0.36
104026,0.49
104035,0.4
104044,0.38
104045,0.33
104047,0.53
104051,0.33
104058,0.41
104063,0.42
104066,0.48
104087,0.39
104089,0.38
104095,0.45
104098,0.42
104104,0.47
104110,0.4
104120,0.44
104122,0.31
104131,0.3
104132,0.38
104135,0.5
104136,0.48
104149,0.44
104150,0.48
104156,0.48
104165,0.41
104175,0.37
104179,0.41
104184,0.45
104206,0.47
104216,0.56
104230,0.48
104257,0.32
104272,0.27
104273,0.41
104278,0.45
104294,0.39
104295,0.3
104297,0.34
104298,0.38
104308,0.42
104318,0.35
104319,0.49
104320,0.47
104327,0.42
104334,0.36
104344,0.49
104350,0.44
104351,0.42
104354,0.39
104369,0.42
104376,0.37
104381,0.47
104384,0.39
104391,0.39
104394,0.45
104398,0.41
104402,0.29
104408,0.43
104409,0.39
104410,0.45
104412,0.37
104417,0.41
104424,0.5
104426,0.4
104435,0.47
104445,0.34
104458,0.41
104460,0.41
104466,0.32
104472,0.48
104473,0.5
104479,0.37
104480,0.31
104482,0.49
104499,0.34
104501,0.35
104502,0.34
104506,0.42
104510,0.28
104512,0.46
104520,0.48
104528,0.36
104529,0.37
104541,0.39
104578,0.49
104584,0.38
104588,0.36
104602,0.5
104610,0.47
104611,0.38
104618,0.51
104620,0.37
104622,0.32
104624,0.44
104625,0.41
104634,0.36
104639,0.37
104646,0.37
104647,0.35
104652,0.38
104670,0.48
104677,0.35
104685,0.38
104691,0.39
104696,0.51
104699,0.36
104712,0.32
104714,0.41
104717,0.47
104718,0.36
104740,0.36
104741,0.38
104743,0.32
104744,0.45
104747,0.38
104767,0.37
104772,0.32
104776,0.4
104779,0.37
104814,0.35
104815,0.4
104830,0.36
104831,0.45
104833,0.5
104839,0.3
104840,0.37
104860,0.45
104861,0.49
104866,0.47
104870,0.3
104877,0.42
104878,0.31
104879,0.42
104880,0.33
104899,0.37
104906,0.49
104907,0.35
104913,0.42
104916,0.43
104921,0.41
104930,0.36
104931,0.48
104936,0.36
104937,0.35
104942,0.5
104943,0.47
104969,0.43
104972,0.49
104988,0.44
105013,0.47
105015,0.43
105019,0.41
105027,0.38
105030,0.42
105035,0.52
105041,0.37
105051,0.32
105056,0.53
105067,0.55
105071,0.27
105072,0.44
105074,0.35
105091,0.46
105101,0.44
105103,0.36
105134,0.44
105139,0.34
105142,0.52
105146,0.39
105163,0.3
105168,0.4
105172,0.44
105176,0.44
105195,0.44
105196,0.45
105197,0.32
105203,0.37
105223,0.53
105227,0.45
105228,0.43
105230,0.51
105231,0.42
105239,0.36
105242,0.41
105244,0.49
105245,0.34
105248,0.37
105249,0.43
105266,0.36
105271,0.4
105276,0.53
105282,0.37
105292,0.31
105297,0.35
105332,0.39
105333,0.33
105343,0.37
105344,0.47
105345,0.4
105357,0.43
105359,0.37
105366,0.41
105367,0.35
105370,0.27
105377,0.41
105390,0.4
105399,0.3
105403,0.5
105404,0.38
105414,0.35
105417,0.33
105425,0.39
105452,0.48
105454,0.43
105456,0.37
105470,0.46
105471,0.51
105483,0.45
105493,0.52
105508,0.37
105514,0.33
105515,0.26
105528,0.36
105529,0.37
105531,0.51
105532,0.42
105558,0.34
105574,0.37
105578,0.4
105584,0.46
105595,0.41
105617,0.44
105618,0.51
105621,0.39
105625,0.46
105629,0.36
105630,0.39
105634,0.45
105635,0.35
105641,0.32
105647,0.53
105648,0.34
105655,0.3
105657,0.41
105672,0.43
105678,0.44
105682,0.44
105691,0.41
105692,0.39
105706,0.38
105712,0.42
105720,0.47
105734,0.47
105735,0.54
105736,0.46
105737,0.31
105738,0.48
105740,0.53
105744,0.44
105747,0.42
105749,0.46
105754,0.42
105758,0.41
105760,0.34
105767,0.44
105784,0.46
105791,0.44
105802,0.44
105807,0.38
105809,0.39
105816,0.39
105817,0.42
105824,0.48
105832,0.33
105856,0.31
105865,0.41
105899,0.46
105906,0.39
105916,0.39
105923,0.38
105937,0.37
105965,0.4
105966,0.37
105968,0.33
105973,0.37
105976,0.41
105978,0.33
105979,0.36
105991,0.46
105998,0.54
105999,0.36
106000,0.46
106001,0.4
106010,0.46
106011,0.37
106013,0.42
106015,0.39
106026,0.45
106032,0.43
106035,0.5
106040,0.38
106041,0.48
106044,0.3
106053,0.56
106054,0.34
106065,0.57
106081,0.42
106083,0.44
106087,0.38
106090,0.38
106101,0.4
106102,0.35
106109,0.3
106116,0.41
106150,0.34
106155,0.41
106166,0.41
106176,0.4
106189,0.36
106199,0.38
106205,0.47
106206,0.4
106211,0.34
106214,0.32
106216,0.4
106217,0.37
106225,0.28
106249,0.46
106256,0.45
106258,0.37
106261,0.34
106262,0.43
106264,0.36
106271,0.42
106276,0.45
106277,0.38
106286,0.42
106293,0.36
106295,0.41
106296,0.36
106297,0.42
106298,0.35
106311,0.34
106314,0.39
106320,0.39
106334,0.42
106346,0.53
106347,0.33
106349,0.42
106354,0.31
106360,0.46
106373,0.49
106377,0.56
106386,0.41
106387,0.35
106391,0.27
106401,0.49
106411,0.41
106413,0.48
106426,0.52
106427,0.42
106428,0.43
106434,0.41
106438,0.33
106440,0.45
106441,0.27
106452,0.33
106453,0.43
106454,0.39
106457,0.38
106484,0.38
106488,0.4
106491,0.44
106514,0.46
106527,0.41
106528,0.38
106529,0.29
106534,0.45
106550,0.44
106577,0.39
106585,0.45
106590,0.38
106607,0.43
106610,0.4
106611,0.43
106612,0.35
106624,0.36
106631,0.28
106647,0.55
106660,0.44
106674,0.35
106687,0.47
106712,0.38
106713,0.48
106717,0.36
106720,0.46
106721,0.4
106724,0.38
106735,0.43
106739,0.44
106740,0.47
106754,0.43
106760,0.47
106761,0.48
106784,0.29
106787,0.46
106797,0.33
106798,0.43
106802,0.38
106803,0.39
106804,0.38
106805,0.38
106810,0.42
106812,0.5
106813,0.48
106817,0.45
106822,0.38
106823,0.36
106827,0.42
106841,0.45
106851,0.52
106852,0.45
106853,0.45
106854,0.4
106861,0.35
106873,0.53
106877,0.35
106878,0.4
106881,0.32
106900,0.35
106906,0.42
106907,0.4
106914,0.52
106916,0.37
106924,0.34
106931,0.42
106936,0.49
106937,0.55
106938,0.36
106939,0.35
106943,0.56
106944,0.5
106967,0.45
106980,0.33
106986,0.45
106987,0.44
106990,0.41
107013,0.32
107023,0.36
107033,0.46
107037,0.4
107048,0.34
107071,0.35
107081,0.4
107113,0.46
107130,0.4
107131,0.38
107145,0.46
107156,0.42
107219,0.39
107222,0.46
107223,0.44
107232,0.41
107245,0.41
107246,0.43
107247,0.42
107256,0.28
107259,0.34
107260,0.52
107279,0.41
107280,0.51
107281,0.36
107285,0.48
107329,0.38
107337,0.42
107349,0.43
107350,0.4
107351,0.42
107359,0.34
107391,0.48
107394,0.52
107395,0.38
107406,0.36
107416,0.47
107417,0.45
107418,0.46
107419,0.46
107444,0.42
107445,0.42
107446,0.48
107460,0.42
107470,0.43
107475,0.44
107520,0.36
107526,0.47
107527,0.43
107530,0.37
107532,0.51
107534,0.43
107535,0.4
107554,0.46
107556,0.41
107559,0.44
107561,0.35
107564,0.43
107566,0.34
107571,0.43
107590,0.53
107602,0.38
107625,0.39
107626,0.54
107635,0.39
107636,0.44
107645,0.41
107652,0.47
107655,0.45
107668,0.4
107670,0.35
107677,0.37
107680,0.4
107683,0.41
107684,0.42
107691,0.43
107692,0.4
107703,0.49
107709,0.39
107710,0.44
107721,0.51
107725,0.45
107727,0.35
107739,0.33
107740,0.3
107741,0.44
107747,0.42
107765,0.55
107768,0.41
107775,0.41
107782,0.54
107790,0.39
107801,0.32
107807,0.37
107811,0.5
107817,0.48
107826,0.37
107838,0.41
107839,0.36
107843,0.45
107847,0.34
107849,0.29
107850,0.52
107867,0.36
107871,0.46
107908,0.34
107913,0.43
107927,0.45
107931,0.44
107955,0.34
107962,0.34
107977,0.55
107978,0.36
107993,0.32
108010,0.52
108016,0.4
108018,0.47
108027,0.4
108045,0.5
108069,0.34
108082,0.4
108089,0.47
108092,0.41
108106,0.34
108112,0.4
108120,0.39
108122,0.42
108135,0.38
108170,0.38
108171,0.36
108177,0.43
108180,0.34
108183,0.32
108184,0.34
108185,0.44
108192,0.47
108195,0.44
108196,0.42
108218,0.34
108219,0.52
108243,0.5
108249,0.3
108251,0.3
108274,0.43
108280,0.51
108289,0.35
108292,0.43
108295,0.32
108327,0.36
108332,0.42
108346,0.34
108349,0.34
108353,0.46
108362,0.54
108363,0.41
108377,0.47
108378,0.44
108381,0.28
108383,0.45
108390,0.46
108407,0.52
108408,0.36
108411,0.3
108412,0.47
108419,0.36
108436,0.46
108437,0.43
108438,0.45
108441,0.38
108448,0.32
108449,0.47
108466,0.39
108467,0.44
108473,0.47
108474,0.37
108476,0.37
108479,0.28
108486,0.37
108493,0.49
108501,0.44
108506,0.55
108510,0.37
108511,0.37
108514,0.39
108517,0.38
108519,0.31
108522,0.36
108548,0.5
108554,0.45
108555,0.43
108559,0.43
108562,0.4
108571,0.4
108572,0.33
108579,0.39
108583,0.36
108584,0.38
108592,0.39
108602,0.39
108609,0.53
108613,0.42
108616,0.49
108618,0.44
108620,0.45
108643,0.38
108649,0.3
108654,0.42
108655,0.33
108656,0.39
108667,0.36
108668,0.4
108682,0.43
108690,0.43
108691,0.31
108692,0.44
108695,0.4
108699,0.38
108710,0.43
108718,0.52
108739,0.45
108740,0.42
108741,0.33
108742,0.38
108763,0.3
108767,0.35
108769,0.35
108779,0.42
108788,0.35
108801,0.45
108802,0.36
108810,0.32
108811,0.44
108813,0.39
108814,0.33
108825,0.35
108826,0.46
108830,0.38
108834,0.38
108852,0.36
108887,0.5
108901,0.51
108908,0.39
108910,0.39
108920,0.44
108922,0.39
108929,0.45
108930,0.43
108937,0.47
108938,0.39
108943,0.37
108948,0.38
108953,0.38
108956,0.44
108965,0.35
108985,0.46
108986,0.47
108987,0.41
108990,0.33
108991,0.37
108993,0.41
109000,0.38
109001,0.32
109012,0.46
109014,0.42
109015,0.36
109021,0.36
109037,0.4
109042,0.51
109044,0.44
109046,0.54
109064,0.3
109084,0.4
109086,0.41
109092,0.32
109093,0.44
109100,0.4
109101,0.37
109110,0.48
109114,0.41
109126,0.56
109152,0.4
109162,0.38
109167,0.42
109168,0.42
109169,0.36
109179,0.47
109184,0.44
109191,0.44
109192,0.4
109193,0.29
109196,0.43
109206,0.42
109210,0.29
109244,0.46
109249,0.44
109273,0.45
109276,0.55
109281,0.37
109287,0.42
109297,0.42
109298,0.38
109306,0.44
109309,0.41
109321,0.6
109328,0.38
109336,0.31
109342,0.45
109346,0.43
109347,0.39
109348,0.39
109362,0.38
109363,0.32
109367,0.3
109370,0.35
109393,0.42
109405,0.45
109413,0.53
109414,0.44
109421,0.47
109427,0.39
109428,0.44
109429,0.55
109437,0.36
109443,0.35
109461,0.34
109468,0.4
109469,0.35
109471,0.4
109479,0.43
109484,0.28
109501,0.38
109505,0.45
109535,0.43
109539,0.23
109544,0.5
109545,0.39
109551,0.44
109553,0.3
109555,0.33
109561,0.5
109580,0.3
109583,0.53
109593,0.46
109604,0.45
109620,0.37
109635,0.29
109637,0.53
109638,0.47
109642,0.44
109649,0.38
109652,0.39
109656,0.41
109663,0.38
109696,0.44
109700,0.49
109709,0.34
109735,0.35
109740,0.49
109741,0.39
109749,0.39
109764,0.36
109771,0.36
109772,0.36
109773,0.42
109798,0.43
109802,0.35
109804,0.39
109813,0.38
109818,0.38
109848,0.55
109850,0.52
109851,0.5
109855,0.42
109871,0.49
109877,0.59
109883,0.4
109886,0.33
109905,0.5
109936,0.5
109950,0.51
109958,0.42
109959,0.48
109969,0.44
109971,0.36
109984,0.34
109985,0.37
109988,0.26
109992,0.35
110005,0.45
110009,0.38
110011,0.51
110014,0.41
110026,0.4
110042,0.44
110058,0.31
110069,0.52
110080,0.34
110087,0.47
110091,0.42
110094,0.44
110098,0.35
110105,0.25
110117,0.51
110136,0.46
110138,0.38
110149,0.42
110164,0.37
110202,0.42
110212,0.33
110226,0.39
110236,0.46
110249,0.32
110257,0.35
110258,0.36
110277,0.27
110282,0.5
110284,0.38
110286,0.42
